the_geom,other_names_1,cartodb_georef_status,iu_archives_number,latitude,longitude,purl,image_url,archive_date,description_from_notebook,description_from_slide_mount,image_note,slide_condition,city_and_state,geocoordinates,personal_names_1,corporate_names_1,cartodb_id,genre_1,genre_2,topical_subject_headings_1,topical_subject_headings_2,topical_subject_headings_3,topical_subject_headings_4,topical_subject_headings_5,topical_subject_headings_6,topical_subject_headings_7,topical_subject_headings_8,topical_subject_headings_9,topical_subject_headings_10,topical_subject_headings_11,topical_subject_headings_12,other_1,date
0101000020E6100000ECDB4944F8E755C0626E522C12F04440,,FALSE,5290,41.8755546,-87.624528,http://purl.dlib.indiana.edu/iudl/archives/cushman/P05290,http://webapp1.dlib.indiana.edu/collections/cushman/full/P05290.jpg,"Mar. 13, 1949","Maxwell Street, on Sunday morning | Maxwell St.",Maxwell St.Sunday,,,"Chicago, Illinois","41.8755546, -87.6245280",,,1491,,,Markets,Shadows,Fruit,People,Sidewalks,Signs (Notices),Carts & wagons,,,,,,,1949-03-13 00:00:00+00
0101000020E6100000FC9A9B25372A5EC05E2EE23B31A44140,,FALSE,5795,35.2827525,-120.6596159,http://purl.dlib.indiana.edu/iudl/archives/cushman/P05795,http://webapp1.dlib.indiana.edu/collections/cushman/full/P05795.jpg,"Mar. 2, 1952",San Luis mtn,San Luis Obispo mountain,,,"San Luis Obispo, California","35.2827525, -120.6596159",,,3879,Landscape photographs,,Mountains,Hills,Houses,Buildings,Roads,Streets,Trees,Shrubs,Grasses,Utility poles,Electric lines,Automobiles,,1952-03-02 00:00:00+00
0101000020E6100000581F0F7DF7E755C0626E522C12F04440,,FALSE,4033,41.8755546,-87.6244805,http://purl.dlib.indiana.edu/iudl/archives/cushman/P04033,http://webapp1.dlib.indiana.edu/collections/cushman/full/P04033.jpg,"Jul. 30, 1948",Gardens in rear of modernized 1843 N. Lincoln Pk. West.,1843 N. Lincoln Pk. West,,masked.,"Chicago, Illinois","41.8755546, -87.6244805",,,1016,Cityscape photographs,,Apartment houses,Trees,Shrubs,Stone walls,,Gates,,Gardens,,,,,,1948-07-30 00:00:00+00
0101000020E6100000C143327DFCEC5DC05B61FA5E43334140,,FALSE,5772,34.4004935,-119.7029107,http://purl.dlib.indiana.edu/iudl/archives/cushman/P05772,http://webapp1.dlib.indiana.edu/collections/cushman/full/P05772.jpg,"Feb. 28, 1952",Santa Barbara from Heights on S.W. looking across the mtns above town,From heights at S.W. view is n.e. across Santa Barbara to mountains inland,,,"Santa Barbara, California","34.4004935, -119.70291070851",,,3894,Cityscape photographs,,Trees,Shrubs,Roads,,Buildings,Mountains,Utility poles,Electric lines,Cliffs,,,,,1952-02-28 00:00:00+00
0101000020E6100000895C70067FC555C09BABE63922D34440,,FALSE,3108,41.649482,-87.085878,http://purl.dlib.indiana.edu/iudl/archives/cushman/P03108,http://webapp1.dlib.indiana.edu/collections/cushman/full/P03108.jpg,"Mar. 2, 1946","High dune, east end of Dune Acres.",High dune in east end of Dune Acres,,,"Dune Acres, Indiana","41.649482, -87.085878",,,1764,Landscape photographs,,,Shrubs,Dunes,Clouds,Sand,,,,,,,,,1946-03-02 00:00:00+00
0101000020E61000007D1464BAC69A5EC03333333333E34240,,FALSE,8033,37.775,-122.4183794,http://purl.dlib.indiana.edu/iudl/archives/cushman/P08033,http://webapp1.dlib.indiana.edu/collections/cushman/full/P08033.jpg,18767,Peacock in sun,PeacockFleishhacker ZooEK CL,,,"San Francisco, California","37.775, -122.4183794",,,3817,Identification photographs,,Peacocks,Sand,Grasses,,,,,,,,,,,1955-05-19 00:00:00+00
0101000020E6100000DC253FE66F335EC0A79196CADB304340,,FALSE,5953,38.3817075,-120.8037048,http://purl.dlib.indiana.edu/iudl/archives/cushman/P05953,http://webapp1.dlib.indiana.edu/collections/cushman/full/P05953.jpg,"Apr. 4, 1952",Looking down on town of Sutter Creek from SW on Cal 49.,"Sutter Creek, Calif. from Hwy 49 S.W.",,,"Sutter Creek, California","38.3817075, -120.803704797428",,,4104,Cityscape photographs,,,Hills,Trees,Buildings,,,,,,,,,,1952-04-04 00:00:00+00
0101000020E6100000409F6DDAB1B65BC01BD9959691D74340,,FALSE,6475,39.6841305,-110.8546053,http://purl.dlib.indiana.edu/iudl/archives/cushman/P06475,http://webapp1.dlib.indiana.edu/collections/cushman/full/P06475.jpg,"Nov. 5, 1952","Helper, Utah.","Entering Helper, Utah on US 50.",,,"Helper, Utah","39.6841305, -110.8546053",,Coca-Cola Company,2035,Views,,Cliffs,Mountains,Streets,Cities & towns,Sidewalks,Street lights,Automobiles,Hotels,Houses,Buildings,Billboards,Electric signs,,1952-11-05 00:00:00+00
0101000020E6100000FFEEC2D0C6785EC0EFF2BE3B434E4240,,FALSE,5829,36.6114268,-121.8871347,http://purl.dlib.indiana.edu/iudl/archives/cushman/P05829,http://webapp1.dlib.indiana.edu/collections/cushman/full/P05829.jpg,"Mar. 3, 1952",Cypress cove Same scene[P],Cypress cove -Point Lobos-Carmel Bay California,,,"Monterey, California","36.6114268, -121.887134733548",,,2593,Landscape photographs,,Seas,Rocks,Cliffs,Bays (Bodies of water),Trees,Tree limbs,,,,,,,"Cypress Cove (Monterey County, Calif.)",1952-03-03 00:00:00+00
0101000020E61000005C2D663AAA8C56C0B693D27D4A504340,,FALSE,4380,38.6272733,-90.1978899,http://purl.dlib.indiana.edu/iudl/archives/cushman/P04380,http://webapp1.dlib.indiana.edu/collections/cushman/full/P04380.jpg,16567,People live in old stores a 3137 So. Broadway | 3137 Broadway,St. Louis3137 Broadway,,,"Saint Louis, Missouri","38.6272733, -90.1978899",,,3227,Cityscape photographs,,Dwellings,Doors & doorways,Fire hydrants,,,,,,,,,,,1949-05-11 00:00:00+00
0101000020E6100000A363BD071EF255C0196FD003C4154340,,FALSE,2119,38.1700444,-87.7830829,http://purl.dlib.indiana.edu/iudl/archives/cushman/P02119,http://webapp1.dlib.indiana.edu/collections/cushman/full/P02119.jpg,"Oct. 22, 1940",Evening sun lights up a new wheat field near Poseyville.,"Evening sun lights up a new wheat field near Poseyville, Ind.",,,"Poseyville, Indiana","38.1700444, -87.7830829",,,3101,Landscape photographs,,Trees,Fences,Croplands,Dwellings,Windmills,,,,,,,,,1940-10-22 00:00:00+00
0101000020E6100000FA7E6ABC74AE51C0FC123B6414194540,,FALSE,2497,42.1959348,-70.725875,http://purl.dlib.indiana.edu/iudl/archives/cushman/P02497,http://webapp1.dlib.indiana.edu/collections/cushman/full/P02497.jpg,"Sep. 22, 1941","Lawson's Tower, Scituate, Mass.","Lawson's Tower. Scituate, Mass.",,,"Scituate, Massachusetts","42.1959348, -70.725875",,,3949,Architectural photographs,,Trees,Shrubs,Towers,Dwellings,,,,,,,,,"Lawson's Tower (Scituate, Mass.)",1941-09-22 00:00:00+00
0101000020E61000003DC8FCED7C8456C000EA61C32EF33D40,,FALSE,5259,29.9499323,-90.0701251,http://purl.dlib.indiana.edu/iudl/archives/cushman/P05259,http://webapp1.dlib.indiana.edu/collections/cushman/full/P05259.jpg,"Dec. 13, 1951",Carved door at 1140 Royal,1140 Royal St. New Orleans,,,"New Orleans, Louisiana","29.9499323, -90.0701251",,,2872,Architectural photographs,,Doors & doorways,,,,,,,,,,,,,1951-12-13 00:00:00+00
